Row,Total,Epo1,Epo2,Epo3
Mean,87.9165221851115,17.3905948260547,33.9834283125049,36.5424990465519
Std,6.4947298449482,3.6591072623944,6.82656671972392,8.42364369230162
CI95,3.23003548578739,1.81979028935738,3.39506850588323,4.18934562257845
