Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",0.862163012834871,0.0509855711377394,0.491970109151454,0.0020899560222824,0.533813104803379,0.00424679089057615,1.56070582454978,0.00695785408809988,4.46283537683088,0.251999655317686,2.54830270070693,0.00531727454734592,3.17681370536697,0.0868497547626102,7.66338972441873,0.0177022004541497
"China",1.3254055436898,0.0795223020401502,0.755673838000606,0.00353128637674475,0.822698797621172,0.00716201370510684,2.39784399544762,0.0117644700910072,6.52414826914987,0.386075686459633,3.72391425454518,0.00826074788672254,4.64933443310818,0.134557321660203,11.1991961197962,0.0275206570848227
"Russian Federation",1.44809497827368,0.139256602415242,0.823612990192775,0.00655458973108137,0.905439568710688,0.0132827595459296,2.61523237591758,0.0218462224819378,6.99742110646424,0.637075984964267,3.99021951630075,0.0137331790917524,5.00125526557202,0.223469531458476,12.00078853752,0.0457722143004705
"Germany",0.553599120218618,0.0332339166199299,0.316022432520345,0.00130739671267608,0.342349415947072,0.00265990507124882,1.00242551218844,0.00435086289094523,2.86618413263411,0.161642320743039,1.63691630659939,0.00338170157939343,2.03903717313393,0.0553375819365483,4.92259891816901,0.0112539061536398
"Japan",0.36677590491047,0.0216453263989515,0.209259855014511,0.000901108724526771,0.227192176929802,0.00183041181604221,0.663875682787098,0.00300039183835624,1.90931498036597,0.108320087675218,1.09015466723747,0.00229172125490658,1.35939405638111,0.037413585724814,3.27839621747934,0.0076306682666071
"India",0.916716688519159,0.0561989574319319,0.522484332430222,0.00257262493218023,0.569604779098941,0.00521318256526545,1.65806095402831,0.00857259483711653,4.74421326115281,0.290135841470387,2.70754875620092,0.0062443295775076,3.38248233124014,0.101573283631305,8.14260869601739,0.0208075832694471
"United Kingdom",0.661987706610905,0.0395388430725861,0.377853154194755,0.00157275615633764,0.409519812093138,0.00319859456498923,1.19859015354482,0.00523450002394764,3.36425627447509,0.189508485767902,1.92126755510839,0.00397462241755366,2.39380122150543,0.065002928326634,5.77770004681145,0.0132284722307588
"Canada",0.791945766336708,0.0467853503988226,0.451893122690271,0.00192224472264358,0.490367831040183,0.00390582897541531,1.43357634527967,0.00639966310734429,4.15781707276505,0.234797397576536,2.37411209851413,0.0049560227858009,2.95976280542745,0.0809446785059822,7.13957631435356,0.0164999158576587
"Ukraine",1.86953073204633,0.184715155675743,1.06348374685592,0.00858003001000767,1.16834979802882,0.0173964115657733,3.37675865125427,0.0285946296640845,9.08710038900255,0.846392299988047,5.18216710016272,0.0181876295786135,6.49324421020388,0.296218668941053,15.585889856641,0.0606138360426945
"France",0.384520595650247,0.023273296898679,0.219516994817868,0.000908444769665162,0.237749639264283,0.00184825779370313,0.696295152868591,0.00302290313618814,1.99979367157018,0.113191950420203,1.14214250008814,0.00236658244746273,1.42260933643433,0.0387229966970775,3.43462917818806,0.00787494159399442
"Italy",0.336459851269536,0.0198759980373997,0.1919874361422,0.000816565195032809,0.208334441216095,0.00165927362160186,0.609057676450312,0.00271856613078303,1.74934024388278,0.098788098751449,0.998872303392816,0.00208470714218578,1.24526961186361,0.0340520858705722,3.00387881639193,0.00694055326362523
"Poland",1.87870881268087,0.113206630333752,1.07250726180583,0.00443827197260974,1.16165245780982,0.00903144983783474,3.40196671842696,0.0147696726282007,9.80157708370056,0.554522313520998,5.59792384711896,0.0115877340107823,6.97238813267106,0.189682955496353,16.8344192713117,0.0385616381551503
