Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",1.71688903482006,0.101531342353222,0.979696499718822,0.00416188415009174,1.06302155466707,0.00845694909739812,3.10794905007428,0.0138556899471453,9.00777331514214,0.508635335818189,5.14348640003676,0.0107323707312904,6.41207109519309,0.175297280163809,15.4677624501966,0.0357300674136493
"China",2.30605596709568,0.138359825043702,1.31478713937478,0.00614403950503002,1.43140299994155,0.0124610950359418,4.1719777619707,0.020468849388965,11.2790857151912,0.667455824190967,6.43798183920039,0.0142813559168344,8.03786784515405,0.232625547734485,19.3614074612192,0.0475782948811719
"Russian Federation",1.70581033492921,0.164039897362417,0.970190195899748,0.00772110053017968,1.06657933155862,0.0156466729391172,3.08066147732925,0.0257341629160801,8.37008672628316,0.76204949855842,4.77297034152929,0.0164271805679033,5.98233830381408,0.267306959311249,14.3549515335061,0.0547512287055343
"Germany",1.23091269251246,0.0738947160414884,0.702667343752895,0.00290696128120027,0.761204680377862,0.00591422708870181,2.22886605340663,0.00967402613235914,6.50747998044492,0.366998112316416,3.71650933852239,0.00767792797300753,4.62949795600098,0.125640290349165,11.1764326468114,0.0255512436074063
"Japan",0.633270922604145,0.0373725635605148,0.361305581077896,0.00155584362469777,0.392267315182276,0.00316036730868,1.14623987155226,0.0051804409237668,3.39969550647489,0.19287300373028,1.94111184465722,0.00408060196066001,2.42051516514142,0.0666180282340753,5.83745950962605,0.0135870450314134
"India",1.60501785889994,0.0983949910146349,0.914782827724637,0.00450423670923956,0.997282862217089,0.00912741223515099,2.90298788675811,0.0150091822075495,8.23940515827564,0.503886865370563,4.70227410955463,0.0108446982668708,5.87444974196292,0.176405104708848,14.1414916233094,0.0361370999751122
"United Kingdom",1.48470647472769,0.088677743901995,0.847449308992942,0.0035273785678543,0.918471310678467,0.00717381004698871,2.68819880451167,0.0117399401830362,7.46555262794388,0.420534423811982,4.26344572910417,0.00882000371362377,5.31203557100402,0.144246675282984,12.8211765837234,0.0293550334959048
"Canada",1.47694431502182,0.0872526380404516,0.842760965365259,0.00358490257271237,0.91451461843721,0.00728420069390772,2.67355736126299,0.0119350925861612,7.91889469747233,0.447190396813833,4.52168611054979,0.00943914123016747,5.63710465744189,0.154165605218257,13.5978933244253,0.031425407589435
"Ukraine",2.17010037715903,0.214412323974027,1.23446298078684,0.0099594652506049,1.35618863808716,0.0201932809410284,3.91964951260308,0.0331918676462894,10.7149897239991,0.998017454260711,6.11051543939028,0.0214458139226231,7.65646267889287,0.349284134419963,18.377991053714,0.0714723732023087
"France",0.725602044449382,0.0439174182131956,0.41423523741784,0.00171426287589016,0.448640791335349,0.00348771860064508,1.31393010459496,0.00570431004373472,3.90892182542402,0.221252068025818,2.23250318760808,0.00462587011453488,2.78072121304091,0.0756903920073821,6.71354107562309,0.0153928535270015
"Italy",0.628962885586927,0.0371552951484495,0.358892662458261,0.00152645018239117,0.389451017171866,0.00310177134384139,1.13854497713066,0.00508196503037271,3.34213187122419,0.188735641616545,1.90835543407068,0.00398285365378848,2.37909993360628,0.0650568474987463,5.7389402459956,0.013259995788358
"Poland",3.88330347704144,0.233998849758884,2.21687956686572,0.00917393736962188,2.40114327354939,0.0186680662385047,7.03188759070923,0.0305290105016388,21.0031984447518,1.18825185921276,11.9954477157729,0.0248306445865927,14.9407029433914,0.406459972905992,36.0734446750911,0.0826313695858373
