Row,CO2,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"Kenya",117.842273226,11598.8270302994,429.016489528705,6591.90188968608,25.809817599905,7278.29787938967,51.4896049673749,20926.2813218223,86.1014887810132,27061.4537471512,1084.34086379847,15426.3502570132,226.508769259432,19453.0118475119,406.934032817036,46304.9991369285,671.476065472551
"Curaçao",114.209936472,14460.8385982901,680.614475252554,8266.81998766021,22.8308404592518,8910.4241173409,46.3879648703853,26205.2716898692,75.7979465636379,26942.9194939036,1096.8503540102,15398.9800901959,208.080914780118,19184.7614222865,371.495409758781,46245.0169692285,605.148546685865
"Guatemala",110.064053654,10121.003534999,396.163670662289,5741.2975130731,26.0294052143161,6386.89394396109,51.8672887879128,18234.8191479629,86.8676858046233,25135.4778172757,1082.03801399442,14319.3801594623,227.852562970632,18105.311095032,409.589910319732,42981.7421973329,676.50751316281
"Sudan",108.944189869,9744.46810021503,404.408390948461,5523.29061162558,28.3216448024813,6165.35000194296,56.2769497540259,17544.7636870766,94.5295665456903,24773.3747948479,1153.24188153138,14109.496966352,246.532748159752,17872.0691568895,443.005314907427,42338.5582613021,732.694594010803
"Tajikistan",102.415820829454,12876.1208151926,540.438361789725,7359.80169814964,19.7807986409178,7936.73360178747,40.1906649874236,23331.8271456408,65.7639136181806,24174.5020099711,942.253352717954,13815.764458698,180.059400328479,17211.4286736308,322.30717385563,41496.3128975847,525.822917487185
"Uruguay",97.376643263,11410.1539666895,422.076961353051,6512.1578157059,17.5124051053345,7067.47628499464,35.2478124698331,20650.8277993679,58.2757051037008,22730.4046296863,790.656466873516,12980.5243280938,156.632777895916,16241.4555316534,280.48583189287,38969.2340293116,459.814347865955
"Ghana",91.777824638,8439.04884534522,327.174368800987,4787.19317497674,22.4179745934322,5326.18335641594,44.5723419268042,15203.770004643,74.8155970059923,20928.3600144942,919.771035135026,11922.687851865,195.437196594013,15081.9658022388,351.208312699504,35780.4263893787,580.641095764946
"Côte d'Ivoire",86.147408202,8315.63233095064,340.033755993451,4723.46623749394,19.0353930666467,5225.16784063144,38.1026324290196,14998.2629147265,63.4900235300857,19816.2556200145,817.441655666681,11294.0509386235,168.13013155827,14240.488337207,302.100118250568,33914.227584213,497.660800126378
"Brunei Darussalam",83.659340251,8595.85355315574,392.571445024002,4890.60457523222,18.3757600381259,5374.78387242521,36.8969548054425,15522.1722118098,61.2167061891525,19345.4927140679,812.528582865451,11032.2921087104,163.450949053996,13876.3816928279,293.184464986215,33127.8043406654,481.688914904684
"Panama",78.666807943,7439.8544620393,284.51114504989,4223.68757171758,18.174686768705,4683.99718287159,36.1992709046285,13411.8786315287,60.64225877413,18001.4138748281,755.570908859385,10257.8002724506,159.005155878263,12957.313049419,285.712141987718,30789.1283026146,471.886442441753
"Cyprus",76.258598717,7306.33792117416,285.339495339958,4149.34768553128,16.6431019807552,4593.7178220143,33.2903301691398,13175.9482559769,55.5150641806014,17529.9576418973,714.904630968546,9990.38343151141,146.88357818362,12599.0493289341,264.05450528859,30000.4401652464,435.180140921933
"Albania",73.621617697,8409.50721907931,353.008049630179,4796.76168228025,14.5200636867041,5216.81865884714,29.3602676767389,15214.9413161105,48.3305147228733,17220.7997140338,671.236500757111,9831.20062450912,130.921280145879,12301.9921264771,234.718891258962,29529.2063911152,384.159335724165
"Gabon",68.146596909,7163.65115217445,316.233240860154,4078.06259229091,14.0394383249017,4470.32572267035,28.3208012581198,12942.5651415621,46.7601290243672,15845.9964990007,638.740626692083,9038.60337428171,125.988511388912,11345.9171459926,226.087166579731,27153.4689767278,370.653113087716
"Honduras",65.176500927,5781.67690239055,234.901069247013,3276.34288098069,16.2419866007975,3660.24153408776,32.3110833915499,10408.4462921032,54.2070975063908,14832.5918846766,669.662149196874,8447.27201310184,141.765309085446,10697.4054768232,254.844518345767,25353.0981641047,421.253967973978
"Costa Rica",65.03645058,5994.87548382103,238.102400643861,3400.90935757425,15.0335194965721,3781.90950769762,29.9879315087205,10801.8075861912,50.1601910647576,14878.1162643682,632.78872885057,8476.0915602199,131.940919428583,10711.1549330196,237.188744722274,25447.1022998651,391.488076838772
"Zambia",62.726516487,7996.76485526734,317.754576053448,4572.22400138442,11.2600402147241,4926.52109813713,22.7480996186876,14491.5494662805,37.4045894018936,14724.4942897677,520.771036869044,8416.77281598837,101.481565954405,10496.7927069642,181.136144183145,25259.9173463505,295.909410111572
"Ethiopia",62.218978239,5307.09286080816,229.349631790469,3003.8680254058,17.564214866853,3372.4469834325,34.8634543228489,9544.96357358618,58.645366033852,14079.0745634661,704.356190830361,8015.38685305981,152.455154749376,10174.4167042511,274.01005856132,24047.4201330874,453.586274681247
"Senegal",60.341062277,5611.67808424657,220.991744265475,3184.31905477679,14.2573745078775,3537.90066619522,28.3963163778733,10112.8145317677,47.5748258351024,13794.6105288363,591.63371233573,7859.44186529805,124.704609071316,9933.32437099012,224.086876177162,23591.0653502207,370.133064828016
"El Salvador",59.653635661,5650.09740150588,220.504794675445,3207.7508261025,13.3423047293383,3556.07110197523,26.6499789170501,10186.4702764399,44.5100781330698,13684.3036761905,567.643530602168,7797.90235496947,117.426056596614,9841.78321371177,211.09629972616,23413.2254598903,348.160218412362
"Tanzania",58.543722604,5303.28800081493,217.041436895003,3007.07728168838,15.0032631256454,3351.61604790772,29.8118891986743,9551.17067284869,50.0734000766968,13329.7141625458,611.341154078967,7592.70523591814,130.604270205547,9612.15390650239,234.65800491455,22784.2833452169,388.077629532458
"Cameroon",53.532875097,4999.64404847307,227.795340375076,2837.34213055501,12.9758518256856,3150.50707300109,25.9423346897166,9011.08294186313,43.2788942715966,12265.5568104884,554.213929886737,6988.5245894443,114.369562605931,8826.50968918819,205.476641114085,20981.6361528328,338.658884203803
"Democratic Republic of the Congo",49.683045008,6325.56711374525,250.217402626337,3616.57692316777,8.91341908296247,3896.51597137637,18.0636886819744,11463.6084466916,29.6145816656473,11705.6432196676,420.57688646323,6690.96514898995,80.8148779751058,8336.48103572277,144.430603872244,20089.4834742901,235.705329455336
"Afghanistan",46.572276401,4306.29475336658,188.770994434092,2443.18436072732,12.9218160075089,2716.85789220297,25.6678809842375,7758.84200716945,43.1209891283006,10618.627811707,527.446047752095,6049.59493639841,112.459115815048,7653.75029633408,202.027461755683,18152.5382023884,334.110228971718
"Nicaragua",45.292146241,4419.53561536482,168.219610709041,2511.14071798934,9.77767703960848,2774.87915552622,19.5349824866263,7972.58697257891,32.613563374921,10412.4486731236,416.251021876279,5935.06488393557,86.0841489253443,7482.96414002438,154.681626725848,17819.3169954109,255.038650477906
"Mozambique",44.711453088,5001.37005281503,199.576138050814,2851.45036356019,10.0126242119969,3108.83856986881,20.0010603316522,9043.82122501611,33.3707961396381,10346.2336904284,424.20233105833,5905.39158018418,88.095613604687,7415.00502115065,157.908746829645,17718.3044699504,260.123956328363
"Bahamas",44.21220358,5370.46504511087,295.634817036517,3067.42653269881,10.2202085712879,3317.55818659657,20.7937954822636,9726.41041603724,33.9512358723228,10419.6294232239,493.451532252961,5952.35317415397,93.3341048134355,7424.99444887565,166.865961200917,17881.5406466422,271.842880407106
"Paraguay",44.031788579,3907.00818182619,161.370954532005,2214.02342204895,10.8195461446222,2473.11014252269,21.559536959641,7033.89098090693,36.1115240601384,10031.9483301874,448.931973064284,5713.3039521142,94.6937597264489,7232.69028983968,170.245024289377,17149.8507486084,281.216922131792
"Papua New Guinea",42.801104851,3846.51098389771,157.66204252684,2180.54497321469,10.3787222081746,2432.1178645736,20.6699629696325,6926.87011390482,34.6345563650179,9763.95308748443,430.984186789378,5561.26227206574,90.7786891962949,7036.71415187409,163.165136907859,16693.8828385135,269.538004241621
"Iceland",39.715398155,4209.7832382411,150.587219287972,2397.04896727857,7.74829950224088,2626.2240464677,15.519578536664,7606.07670097702,25.8272017165359,9190.92512969867,336.674339693647,5243.0761421697,68.585761395469,6588.38556769486,123.132652035996,15741.3136792314,202.649803147386
"New Caledonia",38.764981862,3976.53368067535,150.927254566539,2262.38115828632,8.45644988053803,2487.33140204555,16.886023749958,7179.88848169417,28.2046866782529,8925.80996357152,356.060872017214,5090.12366759764,74.3167055522844,6409.90882254395,133.419752554421,15277.397400573,220.005475122129
"Botswana",37.175309702,3043.40589032303,143.277512439617,1720.38008256868,10.0038950506921,1940.78985500917,19.9135638074259,5469.04773339124,33.3914829887833,8417.38246099598,412.844978273644,4790.55431146281,87.3929708860644,6082.45772277353,157.13338567521,14379.1353487516,259.699409360199
"Nepal",35.222247597,2725.1388233773,138.491063342176,1537.61694166941,11.4172211269294,1748.27505714983,22.6563109672937,4889.52447131267,38.1332233784396,7900.13930584939,453.473799246347,4494.08431042646,98.9780614316953,5726.97496739396,177.94765701273,13479.3586397278,294.707550355956
"Cambodia",34.883733201,2671.38779117204,142.151579608295,1506.76757209435,12.1637744520139,1715.93734188607,24.1223542435142,4791.4584595357,40.6323092305245,7799.68123436384,478.744617137603,4436.54458963745,105.273967156301,5659.92410129257,189.254930714754,13302.5750121615,313.570963716429
"Equatorial Guinea",34.24583942,2439.94977708076,161.067972151469,1372.69874752386,12.2010536857591,1578.91189767122,24.2236948009329,4368.2386860472,40.7259282155353,7642.13296260109,498.423816914308,4344.59868510529,106.128450572953,5550.08752341548,190.834860788874,13031.7126792825,315.784094280788
"Laos",32.980850478,2256.32552113293,186.959496698736,1267.4536675675,18.095860538654,1467.94502655619,35.9006347085808,4033.57786927511,60.4911808837983,7262.06091802974,696.090830208875,4127.12021224513,156.364598703544,5297.92911781203,281.193050320703,12361.1334240321,466.179387213147
"Suriname",30.200844674,3254.88686693947,125.75091863655,1854.06190982952,5.86207742824719,2027.73729855734,11.7876491529619,5882.86139243154,19.5295348053298,7017.27675771922,261.362671080422,4003.71402853174,52.2848252798582,5024.36774700088,93.8203596095199,12023.748497625,154.058152403898
"Mauritius",29.417775836,2566.71306988636,107.129904035715,1453.78268601883,7.43548268555039,1627.29852372339,14.796301071779,4619.05799991686,24.8165564046557,6686.98611118831,307.03068539822,3807.75078249656,64.9343797502459,4824.70587547203,116.744200733201,11428.5016755963,192.958833774611
"Benin",28.269757631,2187.49528460335,109.666394624377,1234.26418140975,8.88386938477401,1403.35463400724,17.6169059961181,3924.86703839308,29.6640119137758,6343.11183127693,354.927959635558,3608.3581566088,76.9912657962862,4597.78210811112,138.402503137859,10823.1952291109,229.222486215318
"Malta",27.645332917,2747.49021740012,108.203431965823,1561.8554255553,5.87514308836901,1722.1053049094,11.7860755858809,4958.50992173564,19.5912163808769,6384.64654110246,257.708261620211,3639.90365331073,52.157307180978,4581.23310409039,93.7649912128765,10932.8028659062,154.288571988573
"Guyana",26.134899482,2886.40315660109,108.762755219668,1645.12934485155,4.94223143513904,1795.10632282113,9.93795391470139,5218.97380213059,16.4616103275602,6078.30686364263,220.512071231232,3468.85747743854,44.0854615682702,4349.95675835541,79.0707254464851,10416.1063551339,129.8090280105
"Uganda",25.857590775,2395.00401022921,96.7000834665762,1358.88546762893,6.64359352749272,1510.87453032005,13.1991092157391,4315.25203273866,22.172809422424,5888.87359450597,270.144650306423,3355.01919356293,57.8115745719456,4245.51452059225,103.858106897574,10066.0870693627,171.769732395218
"Montenegro",25.034430244,2590.56357629754,101.591887598531,1474.16702186191,5.04241451314154,1618.76678783207,10.1228096614148,4678.75691919863,16.805581954975,5798.90396825124,222.397280701048,3307.21234720805,44.8282665466233,4156.89608344973,80.4907761458413,9932.60347409593,132.322319946889
"Madagascar",24.371985331,2415.75068670171,90.9728968265193,1373.18243308078,5.40976955775613,1515.08814621929,10.7909323800117,4358.98148080507,18.0468396412893,5598.32828596527,226.599807212504,3191.51124510181,47.4532572612792,4024.02898522687,85.2318557177619,9579.44462756712,140.643864059135
"Kosovo",24.205794021,1533.83410455703,134.38724524116,858.969205460119,11.4970538115844,1006.86744404321,22.7509347529461,2735.66566416777,38.3859131210927,5320.40590616814,455.398108162281,3022.21578808852,99.2920903766463,3884.97220515673,178.447574312125,9054.02972525916,295.794308385938
"Guinea",21.318542029,2080.63133540018,79.5897774281758,1182.20218152389,4.65470247925276,1306.40984253079,9.29158982521488,3753.28198214585,15.526049821019,4897.98823562325,196.732183268028,2791.83598174013,40.9055744007826,3520.72808550638,73.4826014294492,8381.40063962325,121.203853150906
"Haiti",19.835794326,1823.31232656175,71.4675414725731,1034.29207722092,4.77759738586102,1150.71864234439,9.51070542993865,3284.92626011993,15.944356477612,4526.54137656262,197.404711117212,2578.71014201242,41.7439917253577,3261.3145717945,75.0279278501071,7739.59941588093,123.975094980736
"Congo",19.633439419,1838.69633320182,78.2429020092168,1043.55907684342,4.90406633762104,1158.56894340931,9.76907762689603,3313.96097935272,16.3626565371109,4490.23930329777,203.469646868711,2558.45523524001,42.9021403275094,3233.15420783301,77.0666807457042,7679.1084668203,127.26782535747
"Mauritania",18.88186506,1703.41098706035,78.8889793205341,965.749521040299,4.81857057883795,1076.64722386767,9.62277002921572,3067.83621627308,16.0784165147651,4310.48846858762,202.764951147077,2455.21294520199,42.3460428595621,3105.88285267255,76.1052262544012,7370.36960788833,125.553260129874
"Namibia",18.611064831,1380.38845337026,77.315813948892,777.725221375527,5.83156849917552,889.256963103328,11.5848395137489,2474.18317563193,19.4680585433089,4171.00003710373,237.153101372311,2371.98731733789,50.7414009084893,3024.68562675475,91.2312778547906,7116.32716721853,150.943267357319
"Togo",18.04493951,1593.32097902523,67.1253013396556,902.770181868139,4.50207942209863,1009.02471652876,8.96476048955612,2868.16803867879,15.0251177849057,4109.69886868799,186.378838313927,2340.4139310817,39.3582612304044,2963.50171544082,70.7474784772026,7025.18095954146,116.889478908138
"Aruba",17.764227961,1777.24003839979,74.9225338344272,1010.47805873899,4.19526382286692,1113.55952797512,8.38953147513595,3207.68252848525,13.9893407919028,4096.90968854191,181.129592705678,2335.75862452648,37.0352496207132,2940.77137677376,66.5552410991078,7014.19906432548,109.665293828905
"Lesotho",15.893997256,1247.37857522032,67.6560799542499,704.150252992502,4.53772386041513,798.696111202152,9.04607792205409,2239.28936146629,15.1437688113036,3588.76645315786,189.950453296365,2041.78936249806,39.7732162541165,2595.73809877207,71.5278358730825,6128.77189820344,118.120770318857
"Burkina Faso",15.244752134,1230.99386470456,57.4550818075662,695.551527564761,4.53818579588548,786.323172951686,9.00316478730179,2211.10689359722,15.1531617449818,3435.12003040198,181.514734701106,1954.77667288894,39.3549146311434,2486.30322340483,70.7387329462615,5864.28019491218,117.131435505197
"Macao",15.147908549,1364.48507346558,58.0833521052503,773.563467609198,3.58750794855837,862.394298986239,7.16970794414483,2457.4974538013,11.9706108743549,3463.82603363232,152.36361063502,1972.94686041982,31.5894358151554,2494.29547684677,56.804244359391,5924.23576363037,93.6859980978249
"Occupied Palestinian Territory",14.687777921,1092.03173586899,60.9447219618784,615.314307351526,4.58988527002243,703.308812458325,9.11929078080223,1957.47208779713,15.3230048697836,3292.66006351511,186.836452433367,1872.51602149233,39.9469612721177,2387.49279395329,71.8273326303308,5617.97137509971,118.834870534863
"Barbados",14.333416701,1421.45506442233,54.3184733854295,808.00279871073,3.00777993366713,891.220856803204,6.02108741229967,2565.14153775307,10.0300782437348,3304.99780244581,130.125273402418,1884.13598804976,26.5910723198054,2372.79867909437,47.7830921345407,5658.0587401933,78.6982469144458
"Liberia",13.806807584,1619.79878629234,76.4308798165205,924.480716910092,2.89966423850233,1003.10236339735,5.86810353430144,2931.81327856957,9.64294172549822,3233.70818145313,135.161048504945,1846.60731449325,26.1978965620465,2308.99936179592,46.8834835265488,5545.51786807021,76.6284788420221
"Fiji",13.721273325,1374.25781462485,51.7876812929233,781.378574046468,2.97871008665783,861.124498932159,5.94884300463865,2480.27037089594,9.93568398777322,3157.51346331696,125.901618834132,1800.22107923019,26.1919653394077,2268.23522089777,47.0437947215054,5404.08408982293,77.5774546903745
"Sint Maarten (Dutch part)",13.606480728,1711.17844676498,80.1848860902447,978.092798692292,2.71581210465449,1054.86054333685,5.5149211428876,3100.5819982658,9.01768600000854,3206.59537444986,129.971483264029,1832.55877430029,24.7232997015955,2284.06239710491,44.1453411615427,5503.16495194437,71.9369459552564
"Mali",13.549468806,1120.06432439119,50.7700325614242,633.349399587946,3.99757279684179,713.899049656722,7.92603385805449,2012.9445239289,13.3466616987077,3056.94438497784,159.810876447478,1739.90287117024,34.6395447720353,2211.525008598,62.2538665685943,5219.40527516529,103.097267943549
"Malawi",12.126184429,1230.11867665569,47.0541965759878,699.652392439678,2.49242470898632,769.923492501986,4.99198101170001,2220.78014502542,8.31002557460508,2799.29143171872,107.875010891857,1596.18123466317,22.0505234458291,2008.83968036786,39.6008379660538,4792.85338012514,65.1930295647607
"Niger",11.792341039,1074.0049468977,46.0114592566633,609.074806483675,2.93913675998457,678.299430914765,5.85520496671209,1934.64060329466,9.80741332494025,2693.12774833729,122.010609503357,1534.1094652366,25.715051225754,1940.24798410344,46.204143513656,4605.02579567183,76.3074550239699
"Swaziland",10.730637188,1002.79996949975,41.9594304700029,569.108230642536,2.43663067273187,631.769807073213,4.87548863136523,1807.5218707835,8.12754966675794,2463.56497822401,104.877085242935,1403.67243876069,21.5182395574471,1771.57618945174,38.6847170803774,4215.44630645961,63.7446503141988
"South Sudan",9.667269182,872.956806204956,35.9796254138771,494.940000665988,2.45939162095749,551.836569649016,4.88747163778038,1572.09384829986,8.20731716679725,2201.45464752236,100.72426150193,1253.93069665902,21.4233928637647,1587.4033177313,38.4932985174196,3763.02992817677,63.6499355462084
"Sierra Leone",9.61742529,1086.64001912525,43.0731253277812,619.668706237015,1.88475457545734,674.775717541275,3.78781666959456,1965.47563359745,6.27539006928669,2238.11595167532,83.9339620354612,1277.58978090796,16.7974984719659,1601.24843896363,30.0976938252946,3835.50963515438,49.4001005696065
"Somalia",8.645218262,909.653371416642,38.1527223568815,517.854549171301,1.76569989566729,567.619804783204,3.56017213456519,1643.48576029542,5.88300434324922,2009.04277299317,79.9344099634833,1145.98471353491,15.8270861537323,1438.63335693635,28.4202358365017,3442.51024850824,46.620713428322
"Faeroe Islands",7.976536304,812.569055346857,31.2043127981997,462.212388794198,1.61728625264215,508.343937519087,3.24725591228088,1467.15083972729,5.39197614877143,1845.31662947245,71.2089890136204,1052.26213004351,14.3785051087699,1323.30678944261,25.8361781905816,3160.38096893123,42.4872284956333
"Greenland",7.74466364,879.214548361567,33.6660051701274,501.435927388486,1.44957826862268,545.730510260175,2.91837051249231,1590.47720743604,4.82584738810595,1805.93610811558,65.4418414749942,1030.93621559507,12.9670603018253,1291.18285403259,23.2422263823066,3095.68925471907,38.1164866545303
"Bermuda",7.593113886,806.261406029417,30.4724997561964,459.100774029511,1.48217564341009,502.822999055644,2.97970512326192,1456.8604450031,4.93954931402578,1762.319411168,65.8728958024414,1005.34628691323,13.2113289998269,1262.27140152677,23.7233814486985,3019.34054506401,38.9744692468137
"French Polynesia",7.364054743,701.319176622161,28.1759048631119,398.219830785051,1.62362093090635,441.161596365551,3.2471155383237,1264.57610271588,5.41547300553318,1692.32259205685,69.6758948463922,964.400831440912,14.3242088926095,1216.52039070634,25.7450944846564,2896.04655402329,42.4293399981615
"Rwanda",7.158465103,675.301494213825,29.1605632666966,383.345833159604,1.6420005824627,425.131716557097,3.28650920399551,1217.42693292477,5.47687676648354,1643.59874514652,70.4438661514059,936.556915456,14.4998069577716,1181.94270501822,26.0541971524273,2812.29661496532,42.9227837299549
"Chad",6.561421946,578.552034710363,24.3527916169067,327.792647384175,1.64700477493767,366.436364689969,3.27893876055081,1041.42709205694,5.49646263955906,1494.04612996315,68.3293296503575,850.824598921785,14.3982539317484,1077.38480267111,25.8847561353693,2553.92898829657,42.7700346464606
"Bonaire, Saint Eustatius and Saba",6.078746572,765.037922217166,35.866117857834,437.294770288112,1.21337212239267,471.586630341962,2.46413305259998,1386.23236602142,4.02886470753401,1432.71422637473,58.0953271304124,818.798330785448,11.0474588462131,1020.48605431983,19.7257941788416,2458.85829401891,32.1427130839498
"Maldives",5.766153872,421.234029114282,23.3238013956494,237.199083941509,1.89420094863937,271.851255947772,3.75602528244335,754.651747453566,6.32477292181738,1288.43795181223,75.7467708177527,732.625224136741,16.4161788410848,935.314625875273,29.5111727949845,2197.37400542467,48.8767766687966
"Antigua and Barbuda",5.626984074,628.022345227758,31.3619440416366,358.032528554555,1.21294453433219,390.295777956999,2.44760679756793,1135.73872917172,4.03401240411042,1310.15505485287,55.7094552492429,747.761253733628,10.9023162811842,937.338800711904,19.506317338008,2245.36511011309,31.9233062572962
"Djibouti",4.995926442,502.904053387744,19.6788320162846,285.97792208428,1.03191042601278,314.918017140035,2.06936164987375,907.816220938917,3.44026832452259,1154.56153540146,45.1797165649642,658.293314053632,9.15439145526925,828.31073126566,16.446081494919,1977.08056088509,27.0584641458695
"Belize",4.873086596,464.323947296619,17.9983282226157,263.655044917033,1.07775284459251,292.094400931185,2.15288271901433,837.222396041639,3.59541002854639,1118.38719758957,45.7516746195936,637.339668006332,9.48391397928504,804.24868193727,17.0456662962871,1913.57324282511,28.1117027200991
"Eritrea",4.393664121,340.567547241791,20.6805380229519,192.172126817975,1.34241866410295,218.331593259514,2.68095491067005,611.198921647884,4.47992813855321,991.080296583689,56.8219370716496,563.807042954287,11.8065752039721,717.058378488067,21.2384131098754,1692.37546830871,35.0449841682155
"Bhutan",4.251804963,311.670298206999,17.4942773136767,175.524791397919,1.45801007362435,201.076111578553,2.89230510953359,558.409991644526,4.86968120178896,949.527155661412,57.8240472896125,539.927811944239,12.6326149431646,689.406294934131,22.710971124638,1619.24736010587,37.6180947586145
"Seychelles",4.171218281,350.263625300901,16.7872015206806,198.155825989303,1.11318117380666,222.798568491403,2.22063990612989,629.836481421998,3.71508415504617,947.759199097395,46.827667277517,539.502906334262,9.76993356501742,683.999612513747,17.5738894746052,1619.77507844418,29.0143619797275
"Andorra",3.840694874,308.157337604822,16.958959286291,174.082790667732,1.07877967391775,196.85447011714,2.15509460417446,553.534752029594,3.59968182086429,870.059454093719,45.8871785809073,495.098526290361,9.49620397026355,628.587879717172,17.0816440244231,1486.49195627363,28.1788044048344
"Gambia",3.531722684,317.35107451868,12.875524332848,179.902502395789,0.85003909230487,200.658564634156,1.69316485044733,571.492156526095,2.8367005370371,805.648420227479,35.3153748158201,458.875481553755,7.43676771286287,580.607579131516,13.3675251326847,1377.46219999717,22.0812749644532
"Cape Verde",3.315121254,284.908936468454,12.6192908729747,161.298733245721,0.902259670142408,180.913191414162,1.79266779620989,512.514884745479,3.01141334231077,751.180739105032,36.8913484113937,427.686963170101,7.85631388781363,542.558342939905,14.1214461466739,1283.29691120509,23.3568067465226
"Central African Republic",3.190008127,326.604771209698,12.722671361994,185.806013745727,0.647661667634118,204.260369852506,1.29913403907751,589.747930030862,2.15889226879697,737.648559733626,28.3707905312592,420.650623336204,5.74802029617174,529.054309955171,10.3222158082241,1263.2407459095,16.9780765633316
"Burundi",3.151513715,296.61840150919,12.1125806225835,168.370079953344,0.731569209321514,186.787525466609,1.46121923454383,534.697599107617,2.4408966420825,722.495277282932,30.8507140720469,411.684484449435,6.43218134168651,519.797038766166,11.55940125665,1236.00430863319,19.0669813763758
"Saint Lucia",3.130854262,286.035475129858,11.8623899746865,162.22737361884,0.727033820383221,180.563898346204,1.45277361354893,515.31515342453,2.42565045871459,716.717694815371,30.9624144759312,408.283643164373,6.4025553497861,515.892282481825,11.5126431312211,1225.97715879992,18.9866471235032
"Solomon Islands",2.687462108,244.650591648414,10.0487066738291,138.741197007922,0.625641423703227,154.493375315774,1.24844581026885,440.717202621546,2.08731326781344,614.876382160107,26.4512689826541,350.257613329226,5.4958545945653,442.689632889303,9.87977555506521,1051.68190026179,16.3028039557714
"Guinea-Bissau",2.593228196,255.073274773826,9.96286038934998,144.960587577134,0.550699769013362,160.032807242445,1.10247548368506,460.226429501898,1.83654311482349,597.428307848856,23.7453833004087,340.558989785221,4.86710360991628,429.072952334236,8.74481794618102,1022.65298142711,14.4028617447127
"Grenada",2.076036431,186.673852887937,7.5674214243548,105.825538093163,0.497600318301747,118.022725911519,0.991591599696065,336.173294659131,1.66048037007053,473.674430079538,20.7929552228358,269.794164769849,4.3584786499544,341.320666996824,7.83588895184302,809.908458471942,12.9408729516668
"Samoa",1.85410702,174.832284025438,6.91948558739767,99.2455980015562,0.416441312902048,110.079001097272,0.831619749661409,315.172252977486,1.3893193612896,425.146646684077,17.6190621664967,242.256391923403,3.66179638635448,305.838274021119,6.58090779356801,727.34527410771,10.8550287981396
"Saint Vincent and the Grenadines",1.806081233,157.309964965442,6.6872532745336,89.0953559222951,0.454117216601309,99.7414949480951,0.904372315290129,283.093044025935,1.51553963688609,410.935470739722,18.8861782013259,233.994447325113,3.97254560479698,296.407796006625,7.14288448519882,702.404168887429,11.8011085116661
"Saint Kitts and Nevis",1.607962305,130.060398495706,6.36529286627804,73.4922251846518,0.434107055160059,83.0304556905289,0.864761386486299,233.658514611937,1.44880871820071,364.021812068331,18.0789514551911,207.15459309371,3.79935279726376,263.059813340189,6.83227229652655,621.851029771095,11.2870008193347
"Liechtenstein",1.589781394,130.786973276716,7.36532368112907,73.9430397111958,0.443550514538972,83.3362948385652,0.887995486713987,235.081585280386,1.47978747385995,361.372932762999,19.1520641495632,205.678291278824,3.92119312113122,260.773620102678,7.0540051361719,617.666886907495,11.6237612098203
"Palau",1.570796318,122.745691781609,6.96829647658889,69.2804732926931,0.458484775016902,78.6253680638885,0.914908427009073,220.331233988246,1.53006241985415,354.637639125476,19.3233660905318,201.759745324632,4.02646509308283,256.511221820964,7.24233905959738,605.641950230831,11.9545917607283
"British Virgin Islands",1.423367667,121.079014394274,5.35074029578826,68.5259060428989,0.363688446661292,76.9317338204354,0.724092251278569,217.779403319488,1.21368532745748,323.504093577448,15.1289078037137,184.172803120836,3.18050131442769,233.455300879638,5.7184529583593,552.88417673187,9.448275146369
"Timor-Leste",1.422036495,92.5941204355448,6.88654499015802,51.9120673289166,0.600596299777182,60.5712818276104,1.18887275016832,165.299012150108,2.00567130055904,313.488060430994,23.649207209362,178.104575568305,5.18603850170804,228.651073161127,9.32094020000127,533.708532563551,15.4516350669673
"Nauru",1.289577018,146.3144846204,6.62524957413207,83.443884942927,0.266634216932132,90.7812086166749,0.541146951450007,264.7183603016,0.887451198877548,302.840558118212,12.578311083459,172.875428833801,2.42081560210617,216.100457795014,4.34285479832739,519.54578772582,7.09710542637743
"Comoros",1.238119926,109.023274261781,4.52885570218976,61.7672616464513,0.310741104320013,69.0617471253603,0.61862441457321,196.24081401353,1.03720136012831,281.770928848519,12.8070069892879,160.459654757761,2.71459082910633,203.229350323001,4.8800967856868,481.623781464796,8.06499426270231
"Dominica",1.232308203,109.05982200267,4.48910925510683,61.7972907495029,0.304550234670076,69.0524912795291,0.606158544178426,196.329683978978,1.01633248065206,280.673322429984,12.6309927888576,159.842471758231,2.66144667205053,202.377401872261,4.78454955937681,479.800093659461,7.90630113976387
"Vanuatu",1.189686668,120.28902802093,4.81777180130455,68.4107119231252,0.253132244370733,75.3113962245649,0.506546682617806,217.144975915099,0.843886222851318,274.419842182458,10.9060519204567,156.470674230649,2.23590529350929,196.989441326534,4.01388591174662,469.79941099019,6.60950095200415
"Martinique",1.146161881,131.572924303075,6.43595348200724,75.0594012061858,0.242736159536325,81.6017673247474,0.490605799796018,238.057604378292,0.806949629919477,267.136656613173,11.2502541556628,152.524200486762,2.18962224957485,190.936313657772,3.91661828452132,457.949455694986,6.40317600033103
