,,,meanSCC,,14.97078731,,Comparison,,58.40241917,,Comparison,,Reduction,,,,,
,,,stdSCC,,8.671180461,,,,33.34462359,,,,,,,,,
,,,,,stock_calibrated,,flow_calibrated,,stock_expert,,flow_expert,,Calibrated,,,Expert,,
Country,Catm,Temp,Dcatm,cumul. CO2,Mean,CI,Mean,CI,Mean,CI,Mean,CI,mean,Std,CI,mean,Std,CI
Country,Catm,Temp,GtCO2,GtCO2,Mrd,Mrd,Mrd,Mrd,Mrd,Mrd,Mrd,Mrd,fraction,fraction,fraction,fraction,fraction,fraction
total,408.6872738,1.192750562,0,,,,,,,,,,,,,,,
USA,386.6141688,1.045253013,171.4568162,315.4734719,2566.843528,739.3523182,9832.845459,355.1668324,10013.49285,2843.145159,20083.69615,698.7039096,0.738952113,0.431358183,0.214514424,0.501411853,0.288420028,0.14343128
China,391.8586176,1.097814911,130.7196159,208.0226491,1956.975566,563.6862573,4835.16302,207.1548081,7634.341799,2167.629443,12868.93978,617.1371974,0.59526172,0.348572669,0.173345189,0.406762178,0.235528423,0.117128285
Russian Federation,401.3100661,1.143911113,57.30378844,105.5069815,857.8828289,247.1041383,3334.481897,127.5173937,3346.679873,950.2275402,6740.92533,242.4320069,0.742723801,0.433965528,0.215811057,0.50352812,0.289784385,0.144109775
Germany,404.398715,1.163847456,33.31215231,62.5997125,498.7091472,143.6479318,2104.392693,79.16709757,1945.510283,552.3914808,4014.644734,137.7459936,0.763015169,0.445696935,0.221645086,0.515396651,0.296404374,0.147401895
Japan,404.3525944,1.164994085,33.67040241,59.46417332,504.0724331,145.19277,1709.662141,64.84846133,1966.432955,558.3320846,3765.501887,140.7510025,0.705162546,0.411960996,0.204868203,0.477776665,0.27513834,0.136826297
India,404.8125838,1.171529803,30.09735144,47.43695047,450.581047,129.785138,1113.648667,46.62188253,1757.758135,499.0827483,2935.72423,138.8271509,0.595401081,0.348483705,0.173300947,0.401252299,0.232249048,0.115497452
United Kingdom,406.052293,1.174801452,20.46768726,38.8051809,306.4173927,88.2603116,1335.429311,50.80717046,1195.362451,339.400948,2491.827058,85.03588857,0.770547651,0.45018274,0.223875877,0.520286752,0.299193515,0.148788935
Canada,406.6445942,1.179695179,15.86688147,28.18494495,237.5397078,68.42081791,840.7359743,30.41940309,926.6642628,263.1090921,1787.744822,64.0002097,0.717462182,0.418824619,0.208281483,0.48165742,0.277177614,0.137840428
Ukraine,406.8374217,1.180080597,14.36905881,27.31112332,215.1161233,61.96193989,914.5252794,36.66332153,839.1877956,238.2717753,1757.180744,65.32050941,0.764778374,0.44723468,0.222409806,0.522423747,0.300821242,0.149598403
France,406.8716595,1.180608813,14.10311094,26.23989951,211.1346742,60.81512532,863.6413706,32.40297567,823.6557965,233.8617529,1680.207776,58.17346312,0.755529689,0.441304644,0.219460799,0.50978932,0.29321813,0.145817376
Italy,407.0804778,1.182262563,12.48107687,22.39299195,186.8515472,53.82062561,664.635943,25.16140199,728.9250828,206.9647277,1422.861336,52.33613488,0.718866322,0.419953048,0.208842651,0.487704765,0.280779869,0.139631829
Poland,407.1625219,1.182689429,11.84378433,21.78459014,177.3107762,51.07250674,696.7715556,26.19386189,691.7056571,196.3969636,1392.528689,49.13495285,0.745525237,0.435475422,0.216561928,0.503273676,0.289552341,0.143994379
South Africa,407.285133,1.184028782,10.8913809,18.8118521,163.0525469,46.96557357,525.2897773,19.30427178,636.0829926,180.6039419,1186.119389,44.92687181,0.68959505,0.402655849,0.200240754,0.463727683,0.267108944,0.132833278
Mexico,407.321669,1.184320912,10.6075808,18.10489368,158.803836,45.741777,485.3574182,18.63016798,619.5083801,175.8978888,1138.379114,45.01998573,0.672810531,0.393141357,0.195509197,0.455797833,0.262748129,0.130664644
Iran,407.3651119,1.185231642,10.27013069,16.54503935,153.7519423,44.28663208,401.5839809,16.36358118,599.8004778,170.3021963,1028.571716,45.87244866,0.617136266,0.361008465,0.17952951,0.416860809,0.240923146,0.119811081
Australia,407.459036,1.185112805,9.540558019,16.485683,142.8296649,41.14058481,461.8210638,16.87785762,557.1916686,158.2042169,1039.629049,39.16674746,0.690725097,0.403280021,0.200551154,0.464047615,0.267268192,0.132912472
South Korea,407.3802966,1.185160341,10.15218048,16.4485209,151.9861347,43.77800976,391.1205699,16.76399137,592.9118999,168.3463126,1022.581189,46.18609036,0.611408485,0.358031138,0.178048885,0.4201811,0.242917026,0.120802637
Brazil,407.5739804,1.186126765,8.647706557,14.42402556,129.4629756,37.29045034,375.5604368,14.37424953,505.0469832,143.3987028,903.1570489,36.8322385,0.655280581,0.382878963,0.190405708,0.440798271,0.254254744,0.126440884
Saudi Arabia,407.5511473,1.186261641,8.825066803,14.20195885,132.1181981,38.0552593,337.2650237,14.47596425,515.4052506,146.3397403,882.324875,40.21191559,0.608265937,0.356201755,0.177139133,0.415855469,0.240470209,0.119585835
Spain,407.71095,1.186542458,7.583770639,13.25751076,113.5350172,32.70256923,373.0128078,14.09333494,442.9105518,125.7562181,837.7085566,31.95364621,0.695627027,0.406363278,0.202084458,0.471283243,0.271494539,0.135014234
Indonesia,407.695002,1.187152572,7.707649537,12.30726943,115.3895819,33.2367571,290.5666798,12.26868383,450.1453791,127.8104129,763.3144172,35.21442702,0.602880888,0.352924477,0.175509342,0.410275282,0.237316919,0.118017704
Kazakhstan,407.7926655,1.187140728,6.949030484,12.30185647,104.0324574,29.96545668,370.7331313,13.86287219,405.8401912,115.2307783,781.1505697,28.39238534,0.719387213,0.420170352,0.208950716,0.480458433,0.276554301,0.137530454
Turkey,407.9012238,1.188252909,6.105784905,9.873091311,91.40840718,26.3292316,240.2281702,9.759800641,356.5926094,101.2478429,614.1751899,27.1411646,0.619493388,0.362366344,0.180204783,0.419395939,0.242335296,0.120513343
Netherlands,408.0003848,1.188278283,5.335533627,9.647885846,79.87713912,23.00777096,298.1533253,10.98869005,311.6080714,88.47531955,614.367883,21.71380355,0.732093751,0.427490713,0.212591131,0.492798891,0.283532973,0.141000947
Czech Republic,408.063944,1.188553575,4.841825932,9.08191838,72.48594623,20.87881547,302.3202144,11.5643359,282.7743477,80.28851967,582.7984568,20.51206903,0.760234537,0.444198856,0.220900091,0.51479908,0.296172008,0.14728634
Taiwan,408.0519398,1.188983226,4.935071179,8.103517775,73.88190098,21.28090558,197.9104958,8.234624645,288.2200956,81.83473858,505.0910724,22.16842579,0.626690335,0.366750757,0.182385151,0.429370046,0.248058661,0.123359572
Belgium,408.1524025,1.189175225,4.154708495,7.734070898,62.19925722,17.91584275,256.7980647,9.562048928,242.6450271,68.89454504,495.2076502,16.94978819,0.757789229,0.442568879,0.220089503,0.510013573,0.293298339,0.145857264
Romania,408.157704,1.189162973,4.113528898,7.724713593,61.58276622,17.73826899,251.8972961,10.26450454,240.240039,68.21169337,496.0301276,18.72018892,0.755524306,0.441962074,0.219787739,0.515674501,0.297011738,0.147703937
