Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",1.43994387723515,0.097713425355227,0.810132328951282,0.00711446565017169,0.93158474812243,0.0141486161006645,2.57811455463174,0.0237472273196391,6.12742969122666,0.398844670259183,3.48349905143128,0.00966613219590021,4.44842390921727,0.151693626543369,10.4503661130314,0.0322643821538706
"China",1.57989575677419,0.10756507764013,0.887136304385566,0.00878098786554228,1.02844878596051,0.0174002461351104,2.8241021799765,0.0293162464080525,6.50805130603619,0.44237645619825,3.69851593878055,0.0110474064523823,4.7370056769126,0.171985260132653,11.0886323024154,0.0368829219089174
"Russian Federation",2.98248253694656,0.199993966648188,1.67728664673361,0.0149637793252535,1.93209472810341,0.0297320792760761,5.33806623600265,0.0499504540539803,12.5127088750588,0.812928662902632,7.11300324881627,0.0198527409398196,9.08936435918501,0.310926543290208,21.3357590171752,0.066270251826454
"Germany",1.05368673956951,0.0716107193378547,0.592841570802075,0.00519950256001887,0.681610875370684,0.0103410676439872,1.88660777253576,0.0173551709092231,4.44529948118093,0.289430940672415,2.52721303128695,0.0070100799468721,3.22707275043354,0.110028754414434,7.58161266182229,0.023398610571093
"Japan",1.01892847072986,0.0688418358063759,0.573186477275308,0.00505826753251522,0.659486189891876,0.0100553871195816,1.82411274502238,0.016883963894576,4.39181163836384,0.285574248372222,2.49672013549621,0.006939333239324,3.1889746796892,0.108809732187283,7.48974009990611,0.0231627629642037
"India",1.23661551529952,0.0835827836116149,0.694352494820706,0.00689077452790172,0.805094353428519,0.0136577117369173,2.21039969764934,0.0230083544104124,5.15822235092142,0.350237676817855,2.93137753855376,0.00877437600884718,3.75510213624299,0.136600796635457,8.78818737796749,0.0292977156812082
"United Kingdom",0.912294827953946,0.0629615147317813,0.513486300681948,0.00447005619691102,0.589426121316743,0.0088964184267975,1.63397206186315,0.0149192459524496,3.77571591904896,0.247958116864568,2.14671390150322,0.00596457897560023,2.73938316044147,0.0937748106043599,6.44105069520218,0.019907360628102
"Canada",1.52405398388606,0.102684421257487,0.857255930936684,0.00758791194236813,0.986724169693845,0.0150832403080422,2.72818185102765,0.0253286163341821,6.41203466244067,0.416558695758961,3.6451315099267,0.0101389954816098,4.65661329496739,0.158942777697966,10.9343591824279,0.0338441890889355
"Ukraine",4.03877363803174,0.276448534575217,2.27272065282804,0.0199340738141658,2.6112582472523,0.0396482018911812,7.2323420140149,0.0665329603890896,17.258519037398,1.1309150435442,9.81203393566069,0.0273178898307121,12.5251642372,0.428931210236298,29.4383589393333,0.0911775535178703
"France",0.622753673093333,0.0425719427391386,0.350438583209879,0.00306139278105962,0.402645181807364,0.0060907183552096,1.11517725426275,0.0102182205988751,2.58801239719662,0.168979498200311,1.47136659111024,0.00408055440112744,1.87832541994241,0.064097496044463,4.41434518053721,0.0136199462200335
"Italy",0.698060196952806,0.0481329705358258,0.392889260977063,0.00342420871049952,0.451063781136339,0.0068149846946453,1.25022754874502,0.0114288341592181,2.96264272798211,0.19452396912279,1.68441996281658,0.00468143714108797,2.14960041517212,0.0735990945267045,5.05390780595764,0.0156250314264558
"Poland",2.24785648921013,0.151202117096245,1.26430590636882,0.0112199612017491,1.45561723746541,0.0223001315472164,4.02364632379615,0.0374527913682473,9.34155981968152,0.606919080041012,5.31045293041317,0.0147876915749011,6.78464945328125,0.231752451381304,15.9295770753501,0.0493620537017916
