,1,2,3,4,5,6
94,9467.094822,8122.271779,8563.340348,9929.372984,8570.605864,8150.79476
95,9519.473941,8133.57704,8587.481733,9997.138627,8594.964057,8162.910409
96,9570.644951,8144.57671,8611.00356,10063.42513,8618.697662,8174.699659
97,9620.628005,8155.278634,8633.919925,10128.25245,8641.82086,8186.170828
98,9669.443365,8165.690478,8656.244706,10191.64099,8664.347613,8197.332047
99,9717.111367,8175.819734,8677.991558,10253.61156,8686.291662,8208.191265
100,9763.652392,8185.673718,8699.173912,10314.18532,8707.666524,8218.756252
101,9809.086835,8195.25958,8719.804975,10373.3837,8728.48549,8229.034598
102,9853.435083,8204.584301,8739.897724,10431.22841,8748.761623,8239.033722
103,9896.717483,8213.654698,8759.464909,10487.74135,8768.507759,8248.760868
104,9938.954325,8222.477427,8778.519051,10542.94462,8787.736505,8258.223113
105,9980.165813,8231.058986,8797.072441,10596.86041,8806.460235,8267.427368
106,10020.37205,8239.405716,8815.137143,10649.51102,8824.691098,8276.38038
107,10059.59303,8247.523807,8832.724989,10700.91881,8842.44101,8285.088735
108,10097.84858,8255.419297,8849.847585,10751.10616,8859.72166,8293.558863
109,10135.15839,8263.09808,8866.516308,10800.09544,8876.544509,8301.797039
110,10171.54199,8270.565903,8882.742313,10847.909,8892.920792,8309.809385
111,10207.01871,8277.828374,8898.536524,10894.56912,8908.861516,8317.601876
112,10241.60768,8284.89096,8913.909649,10940.09801,8924.377467,8325.18034
113,10275.32785,8291.758995,8928.872169,10984.51776,8939.479208,8332.550462
114,10308.19791,8298.437678,8943.434348,11027.85034,8954.17708,8339.717788
115,10340.23636,8304.93208,8957.606235,11070.11756,8968.481209,8346.687726
116,10371.46145,8311.247143,8971.39766,11111.34109,8982.401502,8353.465547
117,10401.89119,8317.387685,8984.818243,11151.54238,8995.947656,8360.056394
118,10431.54334,8323.358402,8997.877396,11190.74272,9009.129154,8366.46528
119,10460.43539,8329.163871,9010.584319,11228.96317,9021.955272,8372.697089
120,10488.5846,8334.808553,9022.948011,11266.22457,9034.435081,8378.756586
121,10516.00794,8340.296793,9034.977269,11302.54751,9046.577448,8384.648412
122,10542.72212,8345.632826,9046.680691,11337.95236,9058.39104,8390.37709
123,10568.74358,8350.820778,9058.066677,11372.45922,9069.884327,8395.94703
124,10594.08849,8355.864668,9069.143438,11406.08791,9081.065588,8401.362525
125,10618.77273,8360.768411,9079.918991,11438.858,9091.942906,8406.627761
126,10642.81192,8365.535821,9090.40117,11470.78879,9102.524179,8411.746815
127,10666.22138,8370.170611,9100.597624,11501.89926,9112.817121,8416.723657
128,10689.01618,8374.676401,9110.51582,11532.20814,9122.829262,8421.562157
129,10711.21109,8379.056711,9120.16305,11561.73383,9132.567955,8426.266082
130,10732.8206,8383.314973,9129.546431,11590.49447,9142.040378,8430.839101
131,10753.85894,8387.454526,9138.672909,11618.50786,9151.253536,8435.284789
132,10774.34005,8391.478623,9147.549263,11645.79153,9160.214265,8439.606624
133,10794.2776,8395.39043,9156.182105,11672.3627,9168.929236,8443.807996
134,10813.68497,8399.193029,9164.57789,11698.23827,9177.404958,8447.892203
135,10832.5753,8402.88942,9172.74291,11723.43485,9185.647779,8451.862459
136,10850.96143,8406.482526,9180.683306,11747.96874,9193.663892,8455.721889
137,10868.85594,8409.975188,9188.405064,11771.85593,9201.459337,8459.473538
