"Country","Catm","Temp","DCatm"
"total",408.6872737698253,1.192750561879005,0
"USA",386.61416877375484,1.0452530133928393,171.45681621587667
"China",391.8586176125199,1.0978149110280206,130.71961585997826
"Russian Federation",401.3100661038665,1.143911113451143,57.3037884427148
"Germany",404.3987149832938,1.163847456469984,33.312152314964976
"Japan",404.3525943796069,1.164994085269143,33.67040240581176
"India",404.8125838445879,1.1715298027074323,30.0973514384682
"United Kingdom",406.0522930211629,1.1748014520786656,20.467687261770173
"Canada",406.6445941700106,1.179695179058391,15.866881473888904
"Ukraine",406.8374217152748,1.1800805971613697,14.369058807091017
"France",406.87165946345283,1.1806088129519712,14.103110935323395
"Italy",407.08047780689435,1.18226256334438,12.481076865339558
"Poland",407.16252193504175,1.1826894287014273,11.843784332011548
"South Africa",407.2851329893183,1.184028782117744,10.891380897928702
"Mexico",407.3216690080277,1.184320911956251,10.607580796120082
"Iran",407.36511185084026,1.1852316417618838,10.270130694861761
"Australia",407.4590359923739,1.185112805416696,9.540558019153671
"South Korea",407.3802965926282,1.1851603409315075,10.152180479770353
"Brazil",407.57398041111503,1.1861267648312679,8.647706556586666
"Saudi Arabia",407.5511473069816,1.1862616407545639,8.825066802901906
"Spain",407.7109499975841,1.1865424577013954,7.5837706391624256
"Indonesia",407.69500200562686,1.1871525715413334,7.70764953732901
"Kazakhstan",407.7926655361819,1.187140727990312,6.949030484307134
"Turkey",407.9012237645078,1.1882529093350827,6.105784905304795
"Netherlands",408.00038481107265,1.188278282537939,5.33553362712387
"Czech Republic",408.06394403272816,1.188553575053504,4.8418259322548005
"Taiwan",408.0519397732423,1.188983225989439,4.9350711785780605
"Belgium",408.1524025476315,1.1891752248442884,4.154708495210558
"Romania",408.15770395005006,1.189162973034227,4.1135288976717925
"Argentina",408.1256699306251,1.1892538878428585,4.362358909678519
"Venezuela",408.1485423414189,1.189328251353107,4.184693341804104
"Thailand",408.1314624501756,1.1895934452121846,4.317364471416629
"Uzbekistan",408.24503870695366,1.18988837007761,3.435140453166826
"Egypt",408.22231172512613,1.1900943417990562,3.6116763753689076
"Malaysia",408.2475357417933,1.1902994643447489,3.4157442855837994
"North Korea",408.3573726410749,1.1904752563995507,2.5625663997719634
"Pakistan",408.31055736713887,1.1906447023706388,2.9262124668194116
"Belarus",408.3693962246475,1.1906385369465824,2.4691710501266453
"United Arab Emirates",408.322478795675,1.190715701892676,2.8336106248078012
"Algeria",408.354823194048,1.190800046167471,2.582369688454047
"Hungary",408.4012274791584,1.1908249854948239,2.221916051087377
"Iraq",408.35894371942504,1.1909273274064425,2.5503627658931554
"Sweden",408.41491467693396,1.1909052415278873,2.115598278670278
"Greece",408.3973779109285,1.1909062461161177,2.251818265235374
"Austria",408.420578379572,1.1910266056194352,2.0716044489626726
"Nigeria",408.40419187367723,1.1910818117393567,2.198889583071486
"Bulgaria",408.4350103159612,1.1910662616269805,1.9595017853110044
"Denmark",408.4556671919062,1.191189014533111,1.799045783170927
"Viet Nam",408.4173909221806,1.1913314430451718,2.0963635979930744
"Colombia",408.4493286373839,1.191299983063547,1.8482816463622755
"Philippines",408.4439277446535,1.1913500175881389,1.8902340528067327
"Slovakia",408.48113118944104,1.1913649466205438,1.6012495987992608
"Finland",408.4726111072313,1.1913492346604497,1.6674308709784502
"Kuwait",408.4739062145351,1.191507525270919,1.6573708918768388
"Serbia",408.50215352836176,1.1915523500175549,1.437954797211595
"Chile",408.49208219954266,1.1915864192738832,1.5161856566530993
