"1-Y","2-E","3-R1","4-R2","5-R3","6-R4","7-C","8-CCA","9-F","10-Fex","11-TF","12-TMF","13-TMS","14-TDF","15-TDS","16-TM","17-TD","18-α","19-αcheck","20-atmosGt"
1765,0.001408379900111734,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0.16376976980682398,0.16376976980682398,589.36
1766,0.004078288740587106,0.00030604095229427977,0.00031547709762502844,0.0003977264837915537,0.0003891353664008721,278.0014083799001,-2.211624980374971e-15,0.00002711579681062422,0.00526973,0.005296845796810624,0.00029440523619599833,3.4193681688336e-6,-7.387359339034336e-6,8.009023253033353e-6,0.0002978246043648319,6.216639139990171e-7,0.16379361372782095,0.1637936122229287,589.3629857653883
1767,0.0065857107397624595,0.001192251227169128,0.0012241302443277847,0.0014829815491589258,0.0009639762074882797,278.00486333922817,0.0013214583545699563,0.00009363418128724787,0.010301824,0.010395458181287247,0.0010775966754578174,0.000013533467488148741,-0.000027039579754131648,0.000031698796518810565,0.001091130142945966,4.659216764678917e-6,0.1638576234964473,0.1638576111484673,589.3703102791637
1768,0.009093132269321307,0.0026233188947781764,0.002680387526895881,0.0030951007791709777,0.001416737490839889,278.00981554469166,0.004784489540254248,0.00018897762672218812,0.009564335,0.009753312626722188,0.001911819920166933,0.000026485003597968557,-0.00004797231504535667,0.00006203456287807679,0.0019383049237649017,0.000014062247832720114,0.163926753734686,0.16392672873870145,589.3808089547464
1769,0.011600553798880153,0.004599240533907463,0.004675790916929776,0.005146279973911409,0.0019211533981812181,278.0163424648229,0.010224859272964707,0.0003146360249194698,0.008563993,0.00887862902491947,0.0024793488693034015,0.00003841229883899138,-0.00006221302739391177,0.00008997129861827386,0.002517761168142393,0.00002775827122436209,0.16397517545834547,0.1639751442539242,589.3946460254245
1770,0.014107975798055505,0.0071200128260088605,0.007202014672360462,0.0075633681405309575,0.0024042387714008104,278.0242896344103,0.017970033801310528,0.00046763354680745073,0.007569173,0.00803680654680745,0.002829346010192157,0.000049190229852618386,-0.000070995325836656,0.00011521593325414386,0.0028785362400447754,0.000044220607417487856,0.1640069230644889,0.16400688918914227,589.4114940249499
1771,0.01678633773563058,0.01018563255404659,0.010250860303146949,0.0102853873893308,0.0028962841757237973,278.03361816442225,0.028102458867871386,0.000647219198934821,0.006210051,0.006857270198934821,0.002993026825537296,0.00005862601616007502,-0.00007510248444390193,0.00013731692624924813,0.003051652841697371,0.0000622144418053462,0.1640245051613566,0.1640244704652774,589.4312705085752
1772,0.019293759265189427,0.013833241645762367,0.013852541772598637,0.013309746071584697,0.0034317398751030157,278.04442726936503,0.040774192388714894,0.000855300200023932,0.004870829,0.005726129200023932,0.0029971914780280696,0.00006653786396441188,-0.0000752069859292324,0.00015584847064887037,0.0030637293419924815,0.00008064148471963797,0.1640301072682017,0.16403007248807489,589.4541858110539
1773,0.02180118126436478,0.018025691200535633,0.017960218050599122,0.016537666246837838,0.0039016849348613835,278.05642526043283,0.05624122096717794,0.001086258416801325,0.003941372,0.005027630416801325,0.002903783671684659,0.00007324162804115826,-0.00007286315183359723,0.00017155037805471318,0.002977025299725817,0.00009868722622111595,0.16402881290559057,0.1640287781212282,589.4796215521176
1774,0.024308602793923627,0.022762977995837885,0.02256606022020323,0.0199351048626145,0.004398728927381031,278.06966287200606,0.07439598871238084,0.001341067443746242,0.003050675,0.004391742443746242,0.0027600675841144445,0.00007906093821379008,-0.00006925695788338335,0.00018518067119308563,0.0028391285223282347,0.00011592371330970229,0.16402439763453633,0.16402436279941837,589.5076852886529
1775,0.026816024323482474,0.02804509860495663,0.027662360011471834,0.0234737065957008,0.004884357516947939,278.0840655227291,0.09539660710270985,0.0016182883762756218,0.002198306,0.003816594376275622,0.002583791595460514,0.00008407848585186585,-0.00006483375506316182,0.00019693303412166122,0.0026678700813123797,0.0001320992790584994,0.16401834883518498,0.16401831390447247,589.5382189081856
1776,0.029503778591168327,0.033872049702881185,0.033241527610658385,0.027129848389430576,0.005374634335711452,278.09961806003867,0.11927519957216531,0.001917626100224048,0.001383247,0.003300873100224048,0.0023885941688921368,0.00008837461753877445,-0.00005993576632237946,0.00020699565881711232,0.0024769687864309112,0.00014705989249473285,0.16401177807743142,0.16401174303374844,589.571190287282
1777,0.03201120059034369,0.04028301426868554,0.03933648535961729,0.030934785381902953,0.005912725587101477,278.1164670105973,0.14610343500109665,0.00224189683549544,0.000604151,0.00284604783549544,0.0021850996786487702,0.000092029499104988,-0.000054829583625477414,0.00021555631388716064,0.002277129177753758,0.00016072673026168324,0.1640055696438881,0.1640055344994798,589.6069100624663
1778,0.034518622119902524,0.04723880253717299,0.045898859219607485,0.03481272504732145,0.006381030805259135,278.13433141760936,0.17609463738709774,0.002585689338497914,-0.000140347,0.0024453423384979142,0.001981271673802863,0.00009511958744360198,-0.000049715032217999374,0.00022279408067210697,0.002076391261246465,0.0001730790484541076,0.16400044592905544,0.16400041071604737,589.6447826053319
1779,0.037026043649461375,0.05473941108313213,0.05292142019968681,0.038751475326473925,0.0068784195387446186,278.15329072614804,0.20908038217928268,0.002950528578170112,-0.000851637,0.002098891578170112,0.001782966377581308,0.00009771678847505585,-0.000044739059300700465,0.00022887738098568852,0.001880683166056364,0.00018413832168498806,0.16399682040994956,0.1639967851629323,589.6849763394339
