,,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
9,France,FRA,cumdisshare,mean,percent,0.462717334,0.46999519,0.47553672,0.480704029,0.488645267,0.497392562,0.507533776,0.519003363,0.531761678,0.543042904,0.562888284,0.57985682,0.599697353,0.620001999,0.644857708,0.666638246,0.692440626,0.719630073,0.747026799,0.783497873,0.817259092,0.851548414,0.886106112,0.924512211,0.955887263,0.976415186,1.004423528,1.022163735,1.04036302,1.055119538,1.066706605,1.076785755,1.088623077,1.096252275,1.102871586,1.111093291,1.121479184,1.135611322,1.157025451,1.182146929,1.205485643,1.223193169,1.234298478,1.23775201,1.246301869,1.253560124,1.257254538,1.256288921,1.259152445,1.26156765,1.266983102,1.268991206,1.264060279,1.25997262,1.257155243,1.252028883,1.247544682,1.250002888,1.250432508,1.231331654,1.228385193,1.219053368,1.212717379,1.198974239,1.175393472,1.166716251,1.152474417,1.146277405,1.108235114
10,Ukraine,UKR,cumdisshare,mean,percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.484575571,5.977772703,6.448184244,6.512922273,6.30616375,6.097423239,5.850595534,5.686414896,5.56194393,5.459065383,5.461489447,5.487109602,5.459653939,5.565365892,5.773565615,5.912469296,6.328310988,7.299699975,8.311875391,7.937648181,7.827795735,7.792537228,7.685402163,7.366360998,6.566231081,5.823217632,5.579500349,5.276378046,5.187370964
11,Italy,ITA,cumdisshare,mean,percent,0.310601783,0.318138833,0.324325745,0.332223939,0.340458304,0.352068947,0.363782466,0.376712386,0.389858848,0.405468224,0.426668508,0.451534913,0.476521116,0.502365738,0.519326007,0.532028626,0.545555634,0.561910459,0.577022265,0.594931746,0.645263725,0.67929131,0.717309037,0.763238429,0.804076162,0.830466896,0.863385168,0.891097136,0.91908125,0.95095854,0.98318413,1.009151773,1.031847452,1.05424422,1.081502342,1.106059193,1.130429829,1.157581142,1.188243308,1.218741782,1.24907985,1.27509973,1.297160945,1.302367781,1.310372036,1.323757553,1.331907281,1.340313189,1.34906189,1.357442321,1.372663295,1.383144964,1.396669446,1.407406336,1.418994019,1.42982325,1.446032102,1.463557542,1.468308649,1.448074979,1.470671496,1.477317252,1.447620821,1.411038914,1.388205401,1.380288122,1.36767062,1.357388971,1.353213548
12,Poland,POL,cumdisshare,mean,percent,2.301479173,2.332736993,2.363825598,2.395264095,2.426362856,2.457471804,2.488823665,2.519633343,2.549851222,2.581525665,2.61250564,2.643199042,2.673938087,2.70444375,2.733867296,2.762543803,2.791746627,2.821275261,2.850949193,2.878905139,2.904857524,2.945911592,2.979279392,3.006989056,3.035527662,3.060490485,3.079689426,3.087301333,3.083615435,3.072031745,3.058533737,3.021920907,2.995934322,2.983145119,2.972398479,2.952579241,2.925804077,2.891159357,2.853611273,2.810125919,2.758078882,2.730165667,2.715627747,2.699587631,2.685834928,2.685837661,2.701041148,2.74144715,2.803620068,2.88467488,2.96253085,2.992691485,3.002721927,3.012087178,3.017192578,3.020760154,3.056668295,3.126613535,3.201490639,3.251487789,3.306657706,3.373512294,3.39186477,3.400336545,3.500079148,3.70590117,3.763231842,3.793939994,3.829474261
13,South Africa,ZAF,cumdisshare,mean,percent,4.180603037,4.249739693,4.271828499,4.308442318,4.362860273,4.420797464,4.469205093,4.526735722,4.577977104,4.596440061,4.631710549,4.6622579,4.683373494,4.722801766,4.773892056,4.830610615,4.865294934,4.928534356,4.968326116,5.022144461,5.101159196,5.194044299,5.288510501,5.399866035,5.523984736,5.667841821,5.802789848,5.907312095,6.005704567,6.11343562,6.279746615,6.461821631,6.594436554,6.709941838,6.834850179,6.891323568,6.872323147,6.833762224,6.831966972,6.830005911,6.813732491,6.794692773,6.756136716,6.742759326,6.742427367,6.758227633,6.780315235,6.801671102,6.807473068,6.772952625,6.741052857,6.690849689,6.641046069,6.625000315,6.604492892,6.563216867,6.591547572,6.641297396,6.740988988,6.690723281,6.605103729,6.591424538,6.543435517,6.600373001,6.664044696,6.698399032,6.750032867,6.889428631,6.986118495
14,Mexico,MEX,cumdisshare,mean,percent,0.725134273,0.735922055,0.746612669,0.756426407,0.770011235,0.784029442,0.803890206,0.823968991,0.837972399,0.850928901,0.868081394,0.883697638,0.898554923,0.919929935,0.947835857,0.97505441,1.00524213,1.034948824,1.074743603,1.100891646,1.13004966,1.154014639,1.184447089,1.221450291,1.258817707,1.300977145,1.339112771,1.366618766,1.407252593,1.463163963,1.530673622,1.620023829,1.656197005,1.657497403,1.67291193,1.694930998,1.701365608,1.711732802,1.726882578,1.74599945,1.752781512,1.771181617,1.793263868,1.832030997,1.892674896,1.881194004,1.90598094,1.939679913,1.971731059,1.999153073,2.031215336,2.035601612,2.03219255,2.029664989,2.02852354,2.028977376,2.035030943,2.038235661,2.053668919,2.024475325,2.041600061,2.075866193,2.110773791,2.104214974,2.115250074,2.161967586,2.211603611,2.220707578,2.321646717
15,Iran,IRN,cumdisshare,mean,percent,1.447750424,1.454896572,1.461619106,1.469061867,1.476970239,1.48567878,1.489497715,1.492909564,1.496379679,1.498709747,1.50031485,1.500521851,1.501002423,1.501431279,1.503003746,1.504692285,1.505683771,1.50495472,1.505288567,1.502262585,1.496912856,1.501011918,1.504088077,1.505892258,1.507852882,1.519258962,1.580563574,1.593630364,1.605797955,1.608435571,1.620993117,1.658983232,1.729644698,1.830250997,1.87966565,1.9228515,1.958609697,2.008127206,2.029521106,2.073325811,2.115224215,2.214612502,2.269896141,2.300683746,2.318983678,2.32509097,2.358667809,2.389022776,2.420334144,2.449242003,2.471785311,2.557483602,2.658437426,2.755047548,2.845200235,2.936242193,3.004201302,3.121950535,3.281499358,3.497424366,3.829724706,4.264710646,4.44688685,4.740635898,5.407506621,5.785806458,6.418540109,6.871581399,6.709716557
16,South Korea,KOR,cumdisshare,mean,percent,0.219726519,0.224025419,0.227914772,0.231428725,0.232276038,0.23321775,0.233917464,0.235328822,0.23633046,0.236873767,0.237454905,0.238387006,0.239190651,0.242474302,0.244012518,0.245437092,0.249621771,0.253539311,0.260410165,0.266130474,0.269999985,0.273434882,0.276098155,0.280285348,0.284067045,0.287788257,0.293819123,0.303279162,0.322119984,0.339220365,0.346426319,0.353616627,0.362085945,0.373602538,0.384280251,0.392877649,0.403434949,0.417196449,0.431185292,0.446588624,0.482901672,0.534517919,0.571020536,0.615457053,0.688503886,0.797124724,0.927953393,1.031809145,1.052906387,1.118252059,1.191034591,1.239764454,1.301766715,1.360054226,1.427114128,1.485754717,1.554938221,1.630556807,1.67907865,1.719828142,1.793354534,1.821116084,1.818757771,1.817290555,1.80537552,1.803185862,1.828587173,1.977304522,2.143297598
17,Australia,AUS,cumdisshare,mean,percent,1.215841311,1.278182992,1.290416646,1.32284619,1.364828536,1.40363504,1.42854708,1.456792472,1.499601359,1.545211489,1.589799518,1.620410742,1.665827894,1.710178293,1.764079267,1.805737394,1.853268574,1.899519222,1.956331167,2.013313031,2.062024832,2.110254247,2.158157034,2.209682695,2.243262121,2.280500948,2.319946483,2.360534099,2.411856176,2.456129358,2.515964935,2.578872588,2.611607454,2.656578182,2.713150688,2.767170197,2.811433779,2.866654491,2.928722534,2.981438523,2.998631086,3.00873236,3.029990195,3.052040414,3.086654635,3.114351845,3.14065708,3.174043524,3.198238536,3.219026234,3.198014161,3.185519876,3.18495082,3.192970883,3.196158719,3.20328964,3.211497225,3.23426534,3.241667649,3.24799692,3.26417243,3.356284412,3.472107018,3.585366937,3.687470568,3.765890706,3.821293425,3.971283685,4.118429787
18,Brazil,BRA,cumdisshare,mean,percent,0.326494369,0.336258105,0.348878233,0.355150369,0.363844586,0.371220176,0.377190109,0.388287586,0.397118726,0.410169775,0.420686686,0.431883916,0.441084378,0.447827924,0.455212492,0.464074823,0.473126002,0.480312239,0.490287867,0.508037271,0.523414915,0.540637627,0.560639377,0.586720384,0.612661033,0.641422134,0.674876266,0.699929538,0.726419388,0.752993132,0.787240835,0.804442291,0.824034379,0.835408264,0.850340279,0.867703573,0.893541997,0.912524733,0.926370284,0.94232354,0.951964354,0.971657122,0.986363925,1.007940948,1.037714361,1.068006706,1.094188726,1.127395498,1.156508816,1.176576152,1.204730471,1.228337138,1.24383091,1.252663603,1.273202594,1.285239642,1.300263861,1.328517146,1.366155273,1.383680491,1.467055026,1.545159157,1.624151917,1.746864037,1.84493834,1.838592581,1.797775652,1.776024695,1.735036943
19,Saudi Arabia,SAU,cumdisshare,mean,percent,2.858473245,2.858984084,2.861203682,2.863665549,2.866271291,2.869018788,2.871908086,2.875326346,2.879059723,2.882939778,2.887729214,2.892972216,2.898523764,2.903991575,2.909972638,2.916701785,2.925032299,2.933759947,2.938593728,2.943712691,2.948632952,2.946201899,2.940823114,2.933886353,2.915084963,2.901295931,2.902398066,2.900772023,2.898412311,2.896660386,2.8804581,2.856994478,2.833553452,2.828658513,2.832321809,2.83161562,2.844697748,2.831656939,2.824210554,2.804724202,2.792800868,2.786157791,2.74801944,2.706256214,2.648288963,2.594306282,2.558326244,2.515680288,2.487831581,2.464610448,2.44142151,2.393093938,2.346332483,2.302612089,2.264333025,2.215462783,2.181904623,2.168512549,2.20650678,2.192619158,2.218938358,2.288793439,2.350421425,2.399890585,2.566404724,2.787537913,2.695261228,2.70560969,2.664651074
20,Spain,ESP,cumdisshare,mean,percent,0.310620332,0.319644981,0.324683106,0.329739479,0.339971753,0.349548858,0.360493213,0.371051807,0.383340891,0.388792938,0.397607244,0.411628587,0.429665,0.447077778,0.463366717,0.485608389,0.511959231,0.533387596,0.558075888,0.593497934,0.620165822,0.641315294,0.670389232,0.704744795,0.738008156,0.760767508,0.78285617,0.801088028,0.816190914,0.827633081,0.839680925,0.848575268,0.85902858,0.867785935,0.873364059,0.881340437,0.892707159,0.910094799,0.932534697,0.959912834,0.985544794,1.008341015,1.02332455,1.028734365,1.038244686,1.049802494,1.057779541,1.069419059,1.084911963,1.104372837,1.122906067,1.137031874,1.151573238,1.169755346,1.192792585,1.224727526,1.269622805,1.329092147,1.36678606,1.36267378,1.381127046,1.384957852,1.364691311,1.338873516,1.349743688,1.372307348,1.353517682,1.365010788,1.362519591
21,Indonesia,IDN,cumdisshare,mean,percent,0.381378392,0.385007531,0.388617999,0.392042248,0.395392332,0.398604289,0.401480309,0.40422863,0.406859172,0.409402334,0.411773425,0.413128221,0.413675247,0.413786261,0.414274817,0.414736757,0.415395303,0.41556649,0.416456025,0.417443749,0.419409111,0.421947888,0.425154574,0.428748002,0.4327573,0.437444157,0.442132342,0.447837997,0.453653579,0.458094917,0.465298279,0.472875683,0.48203598,0.492112932,0.49757864,0.503007372,0.510253319,0.517445771,0.527176946,0.541193385,0.560413684,0.582827081,0.598993156,0.613560937,0.633764303,0.663842978,0.708085447,0.75582408,0.750883266,0.753247872,0.759693031,0.76315369,0.764160708,0.761675949,0.76690767,0.775637992,0.779969462,0.789080525,0.802532371,0.804313609,0.809073973,0.824137318,0.832292319,0.832115251,0.865206595,0.910721014,0.927041144,0.914982101,0.969036293
22,Kazakhstan,KAZ,cumdisshare,mean,percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.080043013,6.431142107,6.82247955,7.039187493,7.331829959,7.480260148,7.545430469,7.631973247,7.680403077,7.734373939,7.877366141,8.020238028,8.136765225,8.192983214,8.258491175,8.387453444,8.628897326,8.894201726,9.054897737,9.182710672,9.397759765,9.463194828,9.622209401,9.793468007,9.912531674,9.875116253,9.81155576,9.924214166,9.706163377
