,,,368.5240291,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd,,,,,,,,,,
Country,ISO,CO2_MtC,CO2_GtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std,,Var_RMQ,Var_Drupp,,,,,,,
Thailand,THA,1873.1244,1.8731244,235746.3688,22654.36168,235.7463688,22.65436168,385498.3995,37273.00732,385.4983995,37.27300732,,513.2201033,1389.277075,,,,,,,
Uzbekistan,UZB,1682.159562,1.682159562,233444.5077,17170.86618,233.4445077,17.17086618,357158.1663,25990.0189,357.1581663,25.9900189,,294.8386452,675.4810823,,,,,,,
Egypt,EGY,1591.568829,1.591568829,204307.1527,17979.33922,204.3071527,17.97933922,329326.5915,29501.00585,329.3265915,29.50100585,,323.2566388,870.3093463,,,,,,,
Malaysia,MYS,1465.095259,1.465095259,183155.3315,18002.63599,183.1553315,18.00263599,300763.2389,29825.43047,300.7632389,29.82543047,,324.0949025,889.5563026,,,,,,,
North Korea,PRK,1324.351876,1.324351876,189782.0854,16221.07236,189.7820854,16.22107236,284783.2525,23686.8829,284.7832525,23.6868829,,263.1231886,561.0684214,,,,,,,
Pakistan,PAK,1275.333812,1.275333812,162821.0275,14666.31762,162.8210275,14.66631762,263454.7274,24133.57145,263.4547274,24.13357145,,215.1008725,582.4292708,,,,,,,
Belarus,BLR,1247.140396,1.247140396,177196.5229,14114.34438,177.1965229,14.11434438,267050.6998,20625.63786,267.0506998,20.62563786,,199.2147174,425.4169373,,,,,,,
United Arab Emirates,ARE,1222.143005,1.222143005,153799.6406,14787.68093,153.7996406,14.78768093,251369.4161,24510.52639,251.3694161,24.51052639,,218.6755074,600.7659041,,,,,,,
Algeria,DZA,1164.438788,1.164438788,151928.7442,12902.9206,151.9287442,12.9029206,242476.209,20689.8544,242.476209,20.6898544,,166.4853599,428.0700752,,,,,,,
Hungary,HUN,1136.943917,1.136943917,163403.6584,11979.59646,163.4036584,11.97959646,243998.8512,17417.87005,243.9988512,17.41787005,,143.5107314,303.382197,,,,,,,
Iraq,IRQ,1117.097468,1.117097468,143900.103,12640.1685,143.900103,12.6401685,231337.8763,20753.9296,231.3378763,20.7539296,,159.7738598,430.7255937,,,,,,,
Sweden,SWE,1091.216801,1.091216801,158019.1005,11593.88304,158.0191005,11.59388304,234584.3835,16674.51413,234.5843835,16.67451413,,134.4181239,278.0394215,,,,,,,
Greece,GRC,1063.75122,1.06375122,142187.8933,11576.74667,142.1878933,11.57674667,223451.8943,18153.30189,223.4518943,18.15330189,,134.0210634,329.5423694,,,,,,,
Austria,AUT,1015.375035,1.015375035,141338.4618,10148.75827,141.3384618,10.14875827,215607.8502,15353.3437,215.6078502,15.3533437,,102.9972944,235.7251629,,,,,,,
Nigeria,NGA,997.5725716,0.997572572,131144.6563,11135.10511,131.1446563,11.13510511,208131.4946,17751.37806,208.1314946,17.75137806,,123.9905658,315.1114229,,,,,,,
Bulgaria,BGR,992.6076906,0.992607691,141291.8096,10903.9856,141.2918096,10.9039856,212601.2917,15956.51805,212.6012917,15.95651805,,118.896902,254.6104684,,,,,,,
Denmark,DNK,914.7262887,0.914726289,130457.8433,9476.801623,130.4578433,9.476801623,195847.156,13923.69803,195.847156,13.92369803,,89.80976899,193.8693668,,,,,,,
Viet Nam,VNM,880.416033,0.880416033,109932.2156,11072.63615,109.9322156,11.07263615,180319.0778,18600.86014,180.3190778,18.60086014,,122.6032712,345.9919981,,,,,,,
Colombia,COL,865.4204303,0.86542043,116675.0147,8870.062333,116.6750147,8.870062333,181940.8597,13913.22975,181.9408597,13.91322975,,78.67800579,193.577962,,,,,,,
Philippines,PHL,848.0708206,0.848070821,111054.3959,9148.969513,111.0543959,9.148969513,176594.1035,14792.93366,176.5941035,14.79293366,,83.70364316,218.8308862,,,,,,,
Slovakia,SVK,818.4616808,0.818461681,117586.189,8534.904127,117.586189,8.534904127,175588.0874,12422.33656,175.5880874,12.42233656,,72.84458846,154.3144455,,,,,,,
Finland,FIN,816.649688,0.816649688,112910.1185,8499.020991,112.9101185,8.499020991,173280.3153,12898.36146,173.2803153,12.89836146,,72.2333578,166.3677284,,,,,,,
Kuwait,CUW,743.6449366,0.743644937,96958.08236,8171.282142,96.95808236,8.171282142,154635.0594,13221.86962,154.6350594,13.22186962,,66.76985184,174.8178363,,,,,,,
Serbia,SRB,702.6576164,0.702657616,97236.40592,7323.126784,97.23640592,7.323126784,149111.1363,11097.84564,149.1111363,11.09784564,,53.62818589,123.1621779,,,,,,,
