,,,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd
Country,ISO,CO2_MtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std
Colombia,COL,865.4204303,114160.2168,8695.313339,114.1602168,8.695313339,178312.9954,13668.65372,178.3129954,13.66865372
Philippines,PHL,848.0708206,108679.3853,8971.685651,108.6793853,8.971685651,173093.3789,14536.17227,173.0933789,14.53617227
Slovakia,SVK,818.4616808,115006.7682,8360.023515,115.0067682,8.360023515,172039.7925,12196.84206,172.0397925,12.19684206
Finland,FIN,816.649688,110462.9112,8328.811129,110.4629112,8.328811129,169808.564,12668.2528,169.808564,12.6682528
Kuwait,KWT,743.6449366,94886.74846,8012.966379,94.88674846,8.012966379,151572.1579,12992.39292,151.5721579,12.99239292
Serbia,SRB,702.6576164,95128.10665,7176.37313,95.12810665,7.17637313,146123.0109,10899.77967,146.1230109,10.89977967
Chile,CHL,694.0384839,90015.02299,7110.342582,90.01502299,7.110342582,142113.3643,11434.69675,142.1133643,11.43469675
Switzerland,CHE,679.8123722,93326.99175,6779.627987,93.32699175,6.779627987,141884.1198,10150.33694,141.8841198,10.15033694
Turkmenistan,TKM,676.9038828,90079.33392,6750.27916,90.07933392,6.75027916,139778.152,10524.79399,139.778152,10.52479399
Portugal,PRT,632.7115049,82706.14787,6662.341721,82.70614787,6.662341721,130154.6321,10512.43247,130.1546321,10.51243247
Azerbaijan,AZE,622.7892805,85721.64321,6726.302325,85.72164321,6.726302325,130255.7509,9957.298035,130.2557509,9.957298035
Israel,ISR,620.3766919,79855.36245,6578.768718,79.85536245,6.578768718,126931.6999,10547.67643,126.9316999,10.54767643
Norway,NOR,585.9920513,78728.59245,5803.314933,78.72859245,5.803314933,121471.9207,8925.76364,121.4719207,8.92576364
Singapore,SGP,566.0936473,73842.25521,6194.628937,73.84225521,6.194628937,116468.1741,9717.375342,116.4681741,9.717375342
Libya,LBY,540.0334786,70175.26973,5839.698604,70.17526973,5.839698604,110930.1599,9182.698237,110.9301599,9.182698237
Qatar,QAT,526.7153494,64319.24157,6419.396401,64.31924157,6.419396401,105817.5965,10766.05215,105.8175965,10.76605215
Ireland,IRL,526.068824,70279.58821,5236.885418,70.27958821,5.236885418,108862.8098,8124.095205,108.8628098,8.124095205
Syria,SYR,488.9259201,63357.38371,5511.911759,63.35738371,5.511911759,100440.8297,8700.904743,100.4408297,8.700904743
Morocco,MAR,445.9037009,56279.60971,4880.902607,56.27960971,4.880902607,90599.28409,7986.471207,90.59928409,7.986471207
Peru,PER,443.5322849,57956.4986,4543.700855,57.9564986,4.543700855,91080.78056,7226.231028,91.08078056,7.226231028
Cuba,CUB,432.9107093,59244.72531,4389.647733,59.24472531,4.389647733,90282.95111,6586.303609,90.28295111,6.586303609
New Zealand,NZL,427.5918185,56995.62896,4212.206534,56.99562896,4.212206534,88375.02114,6561.478576,88.37502114,6.561478576
Hong Kong,HKG,422.1588464,54315.47379,4533.851316,54.31547379,4.533851316,86412.86974,7232.806835,86.41286974,7.232806835
Estonia,EST,381.6149523,53479.67577,4070.701231,53.47967577,4.070701231,80208.75604,5951.53007,80.20875604,5.95153007
Bangladesh,BGD,372.0935176,45199.257,4586.568024,45.199257,4.586568024,74632.27045,7709.688231,74.63227045,7.709688231
Trinidad and Tobago,TTO,355.1196458,45354.34326,3830.850506,45.35434326,3.830850506,72436.85752,6206.458104,72.43685752,6.206458104
Lithuania,LTU,349.7896131,49431.3753,3853.605568,49.4313753,3.853605568,73732.69088,5595.305974,73.73269088,5.595305974
Oman,OMN,310.1682069,37339.02103,3961.401607,37.33902103,3.961401607,62048.43363,6667.190399,62.04843363,6.667190399
Ecuador,ECU,303.6029478,38481.90622,3344.057709,38.48190622,3.344057709,61812.1069,5415.109393,61.8121069,5.415109393
Croatia,HRV,280.0553225,37665.63345,2847.004758,37.66563345,2.847004758,58120.06316,4358.976457,58.12006316,4.358976457
Georgia,GEO,258.4013521,37292.20994,3133.549719,37.29220994,3.133549719,54816.97784,4483.951279,54.81697784,4.483951279
Moldova,MDA,239.7512764,34529.78741,3078.117007,34.52978741,3.078117007,50923.4364,4411.383102,50.9234364,4.411383102
Tunisia,TUN,230.1701617,29314.43712,2476.804864,29.31443712,2.476804864,46924.63711,4008.052519,46.92463711,4.008052519
Bosnia and Herzegovina,BIH,229.5745342,30599.21329,2436.790936,30.59921329,2.436790936,47487.05148,3747.628163,47.48705148,3.747628163
Bahrain,BHR,221.3944135,27838.6402,2467.614088,27.8386402,2.467614088,44942.44416,4037.138076,44.94244416,4.037138076
Slovenia,SVN,216.4668636,29092.46787,2194.79418,29.09246787,2.19479418,44914.08568,3362.740011,44.91408568,3.362740011
Luxembourg,LUX,200.8905584,28354.30739,2029.080207,28.35430739,2.029080207,42215.58739,2934.325015,42.21558739,2.934325015
Kyrgyzstan,KGZ,199.8055135,28236.4255,2407.863217,28.2364255,2.407863217,42140.22453,3478.623031,42.14022453,3.478623031
Dominican Republic,DOM,190.8902099,24214.37152,2096.806436,24.21437152,2.096806436,38879.69497,3392.82544,38.87969497,3.39282544
Latvia,LVA,190.78886,26899.61645,2075.8026,26.89961645,2.0758026,40188.76714,3020.342529,40.18876714,3.020342529
Lebanon,LBN,185.6894769,23690.32031,1978.523539,23.69032031,1.978523539,37841.10936,3220.773232,37.84110936,3.220773232
Angola,AGO,183.6649843,22369.67489,2299.124963,22.36967489,2.299124963,36852.96952,3868.568851,36.85296952,3.868568851
Zimbabwe,ZWE,181.6684035,24898.22948,1854.563764,24.89822948,1.854563764,37910.20826,2792.077444,37.91020826,2.792077444
Jordan,JOR,177.1282163,22131.00338,2013.013127,22.13100338,2.013013127,35901.51719,3292.075996,35.90151719,3.292075996
Mongolia,MNG,171.1615369,21254.33281,2150.894726,21.25433281,2.150894726,34539.28324,3617.879083,34.53928324,3.617879083
Armenia,ARM,170.8074422,24632.43646,2069.800656,24.63243646,2.069800656,36229.35795,2963.440926,36.22935795,2.963440926
Yemen,YEM,167.639617,21633.12317,1830.016041,21.63312317,1.830016041,34310.17019,2942.06424,34.31017019,2.94206424
North Macedonia,MKD,155.9235157,21281.58064,1680.243756,21.28158064,1.680243756,32549.2287,2514.667103,32.5492287,2.514667103
Bolivia,BOL,142.3857951,18310.60783,1509.913813,18.31060783,1.509913813,29043.45735,2448.624007,29.04345735,2.448624007
Myanmar,MMR,132.5888951,16978.04428,1420.47293,16.97804428,1.42047293,27021.14256,2326.802915,27.02114256,2.326802915
Sri Lanka,LKA,125.0752151,15852.0969,1361.242966,15.8520969,1.361242966,25401.59557,2247.06795,25.40159557,2.24706795
Jamaica,JAM,119.3402444,15979.97905,1236.984372,15.97997905,1.236984372,24735.9222,1898.424521,24.7359222,1.898424521
Kenya,KEN,117.8422732,15272.72737,1213.647809,15.27272737,1.213647809,24121.43951,1955.608589,24.12143951,1.955608589
Curaçao,CUW,114.2099365,16269.40012,1403.997454,16.26940012,1.403997454,24101.47026,1989.151042,24.10147026,1.989151042
Guatemala,GTM,110.0640537,13956.93052,1192.75381,13.95693052,1.19275381,22386.80538,1950.574208,22.38680538,1.950574208
Sudan,SDN,108.9441899,13640.77991,1251.771092,13.64077991,1.251771092,22047.97731,2076.845177,22.04797731,2.076845177
Tajikistan,TJK,102.4158208,14586.01198,1182.441311,14.58601198,1.182441311,21627.23753,1707.697876,21.62723753,1.707697876
Uruguay,URY,97.37664326,13420.58559,958.0977688,13.42058559,0.958097769,20311.21389,1430.679654,20.31121389,1.430679654
Ghana,GHA,91.77782464,11606.33737,1004.013462,11.60633737,1.004013462,18635.71151,1656.914563,18.63571151,1.656914563
Côte d'Ivoire,CIV,86.1474082,11156.54695,931.2763061,11.15654695,0.931276306,17662.89212,1475.532093,17.66289212,1.475532093
Brunei Darussalam,BRN,83.65934025,11052.693,959.6232453,11.052693,0.959623245,17253.60189,1468.313745,17.25360189,1.468313745
Panama,PAN,78.66680794,10058.25974,835.9517137,10.05825974,0.835951714,16036.24578,1361.960658,16.03624578,1.361960658
Cyprus,CYP,76.25859872,9851.951698,809.1207448,9.851951698,0.809120745,15626.26152,1290.546372,15.62626152,1.290546372
Albania,ALB,73.6216177,10124.77977,819.4091058,10.12477977,0.819409106,15384.11764,1215.012973,15.38411764,1.215012973
Gabon,GAB,68.14659691,9128.697923,766.2971355,9.128697923,0.766297136,14141.85072,1155.419036,14.14185072,1.155419036
Honduras,HND,65.17650093,8161.780264,731.4278498,8.161780264,0.73142785,13203.59633,1206.669286,13.20359633,1.206669286
Costa Rica,CRI,65.03645058,8274.142183,704.095852,8.274142183,0.704095852,13253.29165,1141.290329,13.25329165,1.141290329
Zambia,ZMB,62.72651649,8885.027908,655.1535093,8.885027908,0.655153509,13171.66084,943.7358007,13.17166084,0.943735801
Ethiopia,ETH,62.21897824,7663.249378,752.3753091,7.663249378,0.752375309,12522.50428,1267.572088,12.52250428,1.267572088
Senegal,SEN,60.34106228,7679.771251,653.5697116,7.679771251,0.653569712,12286.44292,1066.337258,12.28644292,1.066337258
